FIPS_people,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
13099,47.69,49.43,0.34,0.31,1.55,0.76
13101,63.34,4.04,0.3,1.36,29.33,2.83
13103,80.98,13.36,0.81,0.26,2.87,1.88
13105,64.25,29.29,0.6,0.18,4.8,1.01
13107,60.77,33.37,0.68,0.2,4.08,0.94
13109,56.62,28.77,0.55,0.08,13.1,1.06
13111,96.11,0.32,0.3,0.29,1.82,1.19
13113,67.75,19.82,3.85,0.21,6.34,2.24
13115,73.67,14.01,1.27,0.2,9.33,1.87
13117,80.3,2.44,6.2,0.21,9.43,1.64
13119,85.64,8.25,0.55,0.13,3.92,1.71
13121,40.85,43.5,5.57,0.17,7.88,2.2
13123,88.64,0.35,0.23,0.25,9.46,1.31
13125,89.23,8.14,0.03,0.23,1.07,1.14
13127,64.81,25.78,1.12,0.18,6.44,1.8
13129,79.92,3.52,0.95,0.24,14.02,1.96
13131,59.49,28.5,0.38,0.54,10,1.57
13133,54.84,38,0.34,0.24,5.58,1.1
13135,44,22.86,10.53,0.19,20.12,3.14
13137,80.44,3.28,2.22,0.19,12.39,1.79
13139,63.61,7.1,1.77,0.21,26.1,2.2
13141,23.46,73.8,0.5,0.22,1.47,0.6
13143,92.13,4.66,0.48,0.22,1.1,1.38
13145,77.59,17.04,0.87,0.31,2.72,1.49
13147,76.2,18.61,0.84,0.11,3.12,1.27
13149,86.11,9.73,0.47,0.27,1.88,1.73
13151,52.51,36.32,2.89,0.24,5.79,2.44
13153,60.55,28.26,2.4,0.28,6.09,2.75
13155,70.44,25.78,0.64,0.02,2.39,0.89
13157,83.81,6.7,1.7,0.15,6.18,1.76
13159,72.63,21.8,0.22,0.29,3.67,1.68
13161,73.37,14.68,0.46,0.18,10.47,1.19
13163,41.44,54.26,0.38,0.11,3.05,0.87
13165,54.05,40.2,0.43,0.26,4,1.15
13167,62.31,34.68,0.22,0.17,1.86,0.81
13169,72.66,24.34,0.65,0.21,1.1,1.1
13171,65.2,30.69,0.37,0.19,1.86,1.67
13173,68.46,23.49,1,0.38,4.57,2.34
13175,59.71,35.65,0.99,0.18,2.36,1.19
13177,75.81,18.51,2.15,0.23,1.98,1.37
13179,42.69,41,1.86,0.45,9.71,4.66
13181,65.05,32.04,0.4,0.34,1.23,0.94
13183,58.7,24.48,0.76,0.53,12.29,3.39
13185,56.06,35.53,1.43,0.28,4.8,2.12
13187,91.83,1.03,0.44,0.56,4.49,1.81
13189,56.27,39.59,0.34,0.26,2.17,1.39
13191,60.81,35.81,0.31,0.32,1.58,1.23
13193,33.66,60.39,1.29,0.13,3.58,0.98
13195,85.73,8.25,0.62,0.22,4.05,1.25
13197,58.34,32.45,0.88,0.46,6.52,1.59
13199,57.32,39.03,0.64,0.3,1.58,1.19
13201,69.18,27.71,0.38,0.23,1.52,1.16
13205,46.36,47.6,0.51,0.26,4.37,0.98
13207,72.29,23.65,0.79,0.24,2.02,1.04
13209,67.35,26,0.28,0.07,5.26,1.09
13211,71.71,23.5,0.59,0.25,2.76,1.29
13213,84.96,0.53,0.28,0.24,13.01,1.59
13215,43.65,44.83,2.14,0.32,6.38,3.04
13217,52.02,40.39,0.88,0.2,4.64,2.08
13219,86.28,4.91,3.1,0.09,4.38,1.38
13221,76.71,17.16,0.44,0.22,3.66,1.91
13223,75,16.73,0.87,0.25,5.1,2.31
13225,45.13,45.67,0.8,0.21,6.82,1.53
13227,94.47,1.01,0.4,0.23,2.78,1.17
13229,84.55,8.77,0.31,0.37,4.73,1.38
13231,86.78,10.21,0.31,0.29,1.08,1.35
13233,73.52,12.42,0.65,0.18,11.78,1.83
13235,62.4,31.71,0.86,0.25,3.87,1.02
13237,66.09,25.91,0.5,0.13,6.35,1.22
13239,50.34,47.67,0.08,0.12,1.35,0.44
13241,88.89,0.88,0.7,0.33,7.99,1.55
13243,36.03,61.5,0.29,0.06,1.54,0.78
13245,38.01,53.54,1.63,0.28,4.09,2.61
13247,40.87,45.76,1.76,0.21,9.46,2.15
13249,72.1,23.29,0.72,0.04,3.21,0.98
13251,54.12,43.05,0.38,0.23,1.23,1.13
13253,63.19,33.07,0.38,0.14,2.34,1
13255,60.85,32.68,0.88,0.24,3.83,1.64
13257,84.07,10.78,0.67,0.26,2.42,1.98
13259,27.32,46.76,0.73,0.18,24,0.99
13261,40.87,51.48,1.27,0.29,5.23,1.15
13263,38.44,58.83,0.13,0.26,1.33,0.99
13265,36.4,59.64,0.47,0.12,2.04,1.4
13267,59.55,29.09,0.39,0.21,9.8,1.31
13269,57.52,39.13,0.64,0.06,1.84,0.83
13271,51.08,35.33,0.55,0.05,12.28,1.73
13273,36.14,61.01,0.31,0.15,1.69,0.92
13275,58.32,36.71,0.68,0.37,2.85,1.22
13277,58.71,28.79,1.26,0.18,10.06,1.57
