state,county_name,unemployment_rate_2010,population_total_2010,urban_population_prc,rural_population_prc,crime_per_capita,per_capita_sme_num,per_capita_large_num,avg_ann_pay_per_emp_sme,avg_ann_pay_per_emp_large,avg_ann_pay_per_emp_total,population_jail_prc,2008_dem_%_vote,2008_rep_%_vote,2008_other_%_vote,smoke_percent_2010,popul_hs_grad_prc,popul_college_grad_prc,popul_single_paren_prc,liquor_stores_per10k,police_per_1000,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010
WY,Fremont County,7.5,40123.0,0.485756299,0.514243701,0.001669865,0.029384642,0.001993869,30468.92265,45124.91001,34019.79766,0.004101637,0.33959921,0.625627999,0.034772791,26.14,66.0,20.0,10.0,2.4,0.9720110659721357,71.47,0.21,0.38,20.0,5.64,2.82
WY,Goshen County,5.3,13249.0,0.540040758,0.459959242,0.002339799,0.023775379,0.001283116,23346.07395,30218.08511,24981.95632,0.003514982,0.307124895,0.660854987,0.032020117,22.82,76.0,19.0,7.0,1.7,1.0566835232847762,87.94,0.53,0.24,0.69,9.72,1.23
WY,Hot Springs County,5.6,4812.0,0.685162095,0.314837905,0.000415628,0.037406484,0.002285952,28704.90441,52389.53488,30455.41023,0.002672485,0.241419657,0.715288612,0.043291732,24.81,82.0,18.0,6.0,4.4,1.8703241895261844,94.56,0.25,0.42,1.29,2.18,1.5
WY,Johnson County,7.4,8569.0,0.509744428,0.490255572,0.002100595,0.044345898,0.002333995,31727.27273,30135.33835,31640.9943,0.003251255,0.207542857,0.762057143,0.0304,19.74,82.0,22.0,7.0,6.4,1.5170965106780254,94.43,0.16,0.42,0.84,3.22,1.1
WY,Laramie County,7.2,91738.0,0.80215396,0.19784604,0.001994811,0.024330158,0.003030369,33802.25957,36640.76472,34999.18734,0.002060215,0.384442425,0.587212362,0.028345214,23.41,65.0,23.0,9.0,1.5,0.6431358869824936,80.8,2.25,1.02,0.65,13.06,3.06
WY,Lincoln County,9.0,18106.0,0.172705181,0.827294819,0.001159837,0.03021098,0.001877831,31452.17118,58243.22104,38870.76223,0.001215067,0.211607661,0.75275682,0.035635519,18.13,84.0,17.0,5.0,3.2,1.049375897492544,93.5,0.18,0.3,0.7,4.31,1.23
WY,Natrona County,7.5,75450.0,0.855506958,0.144493042,0.001921803,0.031318754,0.004002651,38994.87051,44739.0521,41240.64319,0.003949636,0.312938786,0.654437905,0.032623308,26.39,70.0,20.0,10.0,2.0,0.7422133863485753,89.05,0.82,0.63,0.81,6.93,2.4
WY,Niobrara County,4.9,2484.0,0.0,1.0,0.003220612,0.030595813,0.001610306,23141.6309,0.0,23330.43478,0.002874396,0.187116564,0.779907975,0.03297546,23.33,91.0,15.0,6.0,0.0,2.012882447665056,95.05,0.16,0.36,0.81,2.09,1.57
WY,Park County,6.6,28205.0,0.557596171,0.442403829,0.002340011,0.038149264,0.002517284,30901.83525,44315.57826,34665.09724,0.002000709,0.24965114,0.720247193,0.030101668,19.26,84.0,24.0,6.0,3.7,0.9572770785321751,92.5,0.18,0.58,0.49,4.84,1.56
WY,Platte County,6.0,8667.0,0.413522557,0.586477443,0.000692281,0.028383524,0.002192223,21863.15087,62837.51846,34617.01149,0.007845852,0.306069176,0.653034588,0.040896237,23.35,86.0,15.0,6.0,7.1,1.3845621322256838,91.24,0.29,0.36,0.33,6.69,1.45
WY,Sheridan County,7.9,29116.0,0.645212254,0.354787746,0.000858634,0.036131337,0.002953702,35532.8697,35978.44828,35636.85746,0.003331502,0.296429284,0.676707228,0.026863488,21.92,78.0,22.0,8.0,2.5,0.8586344278060173,93.14,0.32,0.66,1.11,3.48,1.52
WY,Sublette County,6.3,10247.0,0.0,1.0,0.000780716,0.042158681,0.002537328,49222.13798,87421.46597,57800.70547,0.001896165,0.213942857,0.757942857,0.028114286,17.89,85.0,22.0,6.0,4.1,3.9035815360593342,90.37,0.29,0.5,0.77,6.95,1.38
WY,Sweetwater County,7.1,43806.0,0.890836872,0.109163128,0.00472538,0.02385518,0.003926403,43109.64861,63715.21298,52690.76962,0.002693695,0.342303808,0.615457732,0.04223846,25.6,70.0,17.0,10.0,1.8,1.1413961557777472,80.88,0.95,0.74,0.72,15.27,2.33
WY,Teton County,8.3,21294.0,0.535690805,0.464309195,0.002535926,0.081619235,0.002770734,35518.79092,28972.4366,34338.67762,0.001033155,0.604579659,0.369366454,0.026053888,12.71,92.0,46.0,6.0,4.6,1.7375786606555836,82.21,0.15,1.07,0.36,14.99,1.63
